,language,variant,sentence_len,sentence_pos,surprisalmean,surprisalsem,surprisalstd
230,de,Efficient-OV,15,5,5.6243653,0.120820716,5.309242315484134
231,de,Efficient-OV,15,6,5.6853404,0.12733306,5.595415366858624
232,de,Efficient-OV,15,7,5.8149,0.1300877,5.716462550337456
233,de,Efficient-OV,15,8,5.5726314,0.11752329,5.164342743448115
234,de,Efficient-OV,15,9,5.352461,0.12070774,5.304278068188096
235,de,Efficient-OV,15,10,5.080283,0.1137953,5.000523600296328
236,de,Efficient-OV,15,11,4.785154,0.110673755,4.863352559090107
237,de,Efficient-OV,15,12,5.462707,0.12488219,5.487716083084051
238,de,Efficient-OV,15,13,2.9200103,0.10350225,4.548214331243608
239,de,Efficient-OV,15,14,0.64606386,0.027334657,1.201170828494522
240,de,Efficient-OV,16,0,7.688491,0.12604827,5.319475799211272
241,de,Efficient-OV,16,1,5.8607635,0.13096063,5.526786983152828
242,de,Efficient-OV,16,2,5.0293736,0.122630045,5.175220365396855
243,de,Efficient-OV,16,3,5.648951,0.12447076,5.252902121261725
244,de,Efficient-OV,16,4,5.3116126,0.11923051,5.031753577624624
245,de,Efficient-OV,16,5,5.476119,0.1293308,5.458005070040678
246,de,Efficient-OV,16,6,5.771711,0.12880103,5.43564802821747
247,de,Efficient-OV,16,7,5.6128526,0.12698168,5.358867399895134
248,de,Efficient-OV,16,8,5.38823,0.118845895,5.015522152554078
249,de,Efficient-OV,16,9,5.551714,0.12920888,5.452859581981089
250,de,Efficient-OV,16,10,5.4165974,0.12518708,5.283132423050172
251,de,Efficient-OV,16,11,5.1153216,0.11858725,5.004606600448407
252,de,Efficient-OV,16,12,4.679684,0.1080547,4.56011252017208
253,de,Efficient-OV,16,13,5.193231,0.12516063,5.28201600643332
254,de,Efficient-OV,16,14,2.8651023,0.100803345,4.254092333071028
255,de,Efficient-OV,16,15,0.60517746,0.027213521,1.148462199565356
256,de,Efficient-OV,17,0,7.8329945,0.12369906,5.182090094921285
257,de,Efficient-OV,17,1,5.7524004,0.12621301,5.287406398392165
258,de,Efficient-OV,17,2,4.897271,0.12218399,5.118619935647505
259,de,Efficient-OV,17,3,5.8085318,0.13402134,5.61451871876283
260,de,Efficient-OV,17,4,5.5023546,0.12371543,5.182775796726815
261,de,Efficient-OV,17,5,5.464635,0.1227806,5.143613355222792
262,de,Efficient-OV,17,6,5.645322,0.12616329,5.285322977175028
263,de,Efficient-OV,17,7,5.7013187,0.12887189,5.39879358839676
264,de,Efficient-OV,17,8,5.739874,0.12871756,5.392329076513199
265,de,Efficient-OV,17,9,5.680254,0.12655218,5.301614523077332
266,de,Efficient-OV,17,10,5.6367993,0.13417721,5.621047551252632
267,de,Efficient-OV,17,11,5.5512953,0.1251071,5.241076536403915
268,de,Efficient-OV,17,12,5.213467,0.116743,4.890681964163752
269,de,Efficient-OV,17,13,4.793479,0.106711835,4.47044907362791
270,de,Efficient-OV,17,14,5.161407,0.12967134,5.4322850820570245
271,de,Efficient-OV,17,15,2.7334476,0.1006374,4.215974176867073
272,de,Efficient-OV,17,16,0.5964929,0.027306542,1.143945290530784
273,de,Efficient-OV,18,0,7.815415,0.12613393,5.151455024418279
