,language,variant,sentence_len,sentence_pos,delta_surpmean,delta_surpsem,delta_surpstd
335,de,Efficient-VO,10,5,4.9106627,0.11187304,4.828718261958724
336,de,Efficient-VO,10,6,4.5786676,0.108235836,4.671728006620353
337,de,Efficient-VO,10,7,4.6138396,0.10940326,4.722116184321266
338,de,Efficient-VO,10,8,5.480961,0.122819945,5.301213847104543
339,de,Efficient-VO,10,9,3.9515488,0.11185492,4.82793597627741
340,de,Efficient-VO,11,0,4.9418797,0.1201104,5.074575590328935
341,de,Efficient-VO,11,1,5.4505863,0.115935326,5.072087915960335
342,de,Efficient-VO,11,2,4.9355593,0.1073984,4.6986028144888925
343,de,Efficient-VO,11,3,4.936961,0.11254196,4.923630114157561
344,de,Efficient-VO,11,4,5.013755,0.118456535,5.182389003021272
345,de,Efficient-VO,11,5,4.9126363,0.11412453,4.99286651491276
346,de,Efficient-VO,11,6,4.927985,0.10730513,4.694522789140895
347,de,Efficient-VO,11,7,5.0050354,0.11305464,4.946059926085586
348,de,Efficient-VO,11,8,5.067813,0.1194146,5.224303538807266
349,de,Efficient-VO,11,9,5.3166203,0.11896186,5.204496102265772
350,de,Efficient-VO,11,10,3.7313697,0.104948394,4.591417275294746
351,de,Efficient-VO,12,0,4.688594,0.11058393,4.764101533060226
352,de,Efficient-VO,12,1,5.171087,0.1082152,4.849199951640898
353,de,Efficient-VO,12,2,4.8614745,0.10435353,4.676156262671628
354,de,Efficient-VO,12,3,4.866303,0.107529335,4.818466062635663
355,de,Efficient-VO,12,4,4.7784667,0.106329,4.764678465679777
356,de,Efficient-VO,12,5,4.874515,0.11161664,5.001621466483695
357,de,Efficient-VO,12,6,4.923832,0.11012781,4.934905356141477
358,de,Efficient-VO,12,7,5.186249,0.11995536,5.375285079024743
359,de,Efficient-VO,12,8,5.0365634,0.12586741,5.640208365662107
360,de,Efficient-VO,12,9,5.0232124,0.11909469,5.336718200249765
361,de,Efficient-VO,12,10,5.4454155,0.12068497,5.407979708635293
362,de,Efficient-VO,12,11,3.965956,0.10809884,4.843986345378561
363,de,Efficient-VO,13,0,4.719386,0.11131371,4.776123096878905
364,de,Efficient-VO,13,1,5.3763094,0.111828595,5.009870871432756
365,de,Efficient-VO,13,2,5.0650425,0.11558575,5.178189953818922
366,de,Efficient-VO,13,3,4.797045,0.1072349,4.804075917773328
367,de,Efficient-VO,13,4,4.868502,0.105151504,4.710740600380482
368,de,Efficient-VO,13,5,4.812788,0.10427618,4.671526566467376
369,de,Efficient-VO,13,6,4.6942997,0.10426209,4.6708950309141954
370,de,Efficient-VO,13,7,4.8910537,0.1092528,4.8944769645600665
371,de,Efficient-VO,13,8,4.749742,0.10913829,4.889347101123534
372,de,Efficient-VO,13,9,4.770186,0.103852026,4.652524261739671
373,de,Efficient-VO,13,10,4.992073,0.10874028,4.871515828872502
